date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2024-12-27,30.20800957067275,30.777974203311086,30.113017277094887,30.58798599243164,3418,32.01430581307718,30,0.032051294839722244,-0.01829259371646408,30.409999999999968,948.84,979.25
2024-12-30,30.58798599243164,30.58798599243164,30.58798599243164,30.58798599243164,0,32.01430581307718,30,0.0,-0.01829259371646408,0.0,979.25,979.25
2025-01-02,30.58798647690737,32.96283009120571,30.58798647690737,32.202880859375,11720,32.01430581307718,30,0.05279507017372542,0.03353671768834121,51.700000000000045,979.25,1030.95
2025-01-03,32.48785840057894,33.05781936645508,32.48785840057894,33.05781936645508,1571,32.01430581307718,30,0.02654851007937653,0.06097557765529582,27.36999999999989,1030.95,1058.32
2025-01-06,32.77283888351701,33.05781936645508,32.58285068698382,33.05781936645508,2642,32.01430581307718,30,0.0,0.06097557765529582,0.0,1058.32,1058.32
2025-01-07,33.057820099921685,33.247808300670215,32.58285140991211,32.58285140991211,5485,32.01430581307718,30,-0.01436779453834558,0.04573169854534198,-15.200000000000045,1058.32,1043.12
2025-01-08,32.58285140991211,32.58285140991211,32.58285140991211,32.58285140991211,0,32.01430581307718,30,0.0,0.04573169854534198,0.0,1043.12,1043.12
2025-01-09,32.582852434014924,32.582852434014924,32.10788372907674,32.39286422729492,1725,32.01430581307718,30,-0.005830894915458185,0.03963414690136058,-6.079999999999927,1043.12,1037.04
2025-01-10,32.392863235014666,33.912765218492375,32.392863235014666,33.627784729003906,11641,32.01430581307718,30,0.03812322655519962,0.07926835501820273,39.52999999999997,1037.04,1076.57
2025-01-13,33.81776882399725,33.91276473495461,33.15281556591309,33.34280014038086,4257,32.01430581307718,30,-0.008474676251190805,0.07012190512126826,-9.11999999999989,1076.57,1067.45
2025-01-14,33.247810888732346,34.577724773771166,33.247810888732346,33.817771911621094,2263,32.01430581307718,30,0.014245107466694273,0.08536590666218435,15.200000000000045,1067.45,1082.65
2025-01-15,34.10275297370856,34.67271394523676,34.007757062638206,34.387733459472656,1552,32.01430581307718,30,0.016853905968172267,0.10365856159412878,18.25,1082.65,1100.9
2025-01-16,34.387736504473544,35.14768574171174,34.387736504473544,34.86270523071289,10407,32.01430581307718,30,0.013812244177128008,0.11890256313504466,15.209999999999809,1100.9,1116.11
2025-01-17,34.86270523071289,34.86270523071289,34.86270523071289,34.86270523071289,0,32.01430581307718,30,0.0,0.11890256313504466,0.0,1116.11,1116.11
2025-01-20,34.86270523071289,34.86270523071289,34.86270523071289,34.86270523071289,0,32.01430581307718,30,0.0,0.11890256313504466,0.0,1116.11,1116.11
