date,open,high,low,close,volume,shares_owned,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2023-11-02,21.214765377370153,21.214765377370153,21.118770599365234,21.118770599365234,100,20,0.004566235731137125,0.16285132786729162,1.920000000000016,420.46,422.38
2023-11-03,21.118770599365234,21.118770599365234,21.118770599365234,21.118770599365234,0,20,0.0,0.16285132786729162,0.0,422.38,422.38
2023-11-06,21.11877042724697,21.11877042724697,21.022775650024414,21.022775650024414,200,20,-0.004545479997955293,0.15756561041587513,-1.920000000000016,422.38,420.46
2023-11-07,21.022775650024414,21.022775650024414,21.022775650024414,21.022775650024414,0,20,0.0,0.15756561041587513,0.0,420.46,420.46
2023-11-08,20.830787658691406,20.830787658691406,20.830787658691406,20.830787658691406,0,20,-0.009132380734548029,0.14699428053633778,-3.839999999999975,420.46,416.62
2023-11-09,20.830787658691406,20.830787658691406,20.830787658691406,20.830787658691406,0,20,0.0,0.14699428053633778,0.0,416.62,416.62
2023-11-10,20.638798624089407,22.366697311401367,20.638798624089407,22.366697311401367,175,20,0.073732672901071,0.23156523464252277,30.70999999999998,416.62,447.33
2023-11-13,21.79073143005371,21.79073143005371,21.79073143005371,21.79073143005371,44,20,-0.025751047341891597,0.19985113998061532,-11.519999999999982,447.33,435.81
2023-11-14,21.502749400284536,22.078716278076172,21.502749400284536,22.078716278076172,200,20,0.013215933065251484,0.21570829233486477,5.759999999999991,435.81,441.57
2023-11-15,21.886725250376035,22.366697311401367,21.886725250376035,22.366697311401367,500,20,0.013043377599410322,0.23156523464252277,5.759999999999991,441.57,447.33
2023-11-16,22.07871514178337,22.558687210083008,22.07871514178337,22.558687210083008,100,20,0.008583739298147153,0.2421366695453555,3.840000000000032,447.33,451.17
2023-11-17,22.366697311401367,22.366697311401367,22.366697311401367,22.366697311401367,0,20,-0.008510685790076744,0.23156523464252254,-3.840000000000032,451.17,447.33
2023-11-20,21.88672637939453,21.88672637939453,21.88672637939453,21.88672637939453,200,20,-0.02145917769281802,0.20513685743203158,-9.599999999999966,447.33,437.73
2023-11-21,21.406753352260896,22.462692260742188,21.406753352260896,22.462692260742188,303,20,0.026315761953779715,0.23685095209393903,11.519999999999982,437.73,449.25
