date,relative_daily_return,relative_cumulative_return,absolute_daily_return,portfolio_value_BoP,portfolio_value_EoP
2020-03-18,-0.048989267136366615,-0.419260152794532,-29.75999999999999,607.48,577.72
2020-03-19,-0.0043273558125043275,-0.4217732207478895,-2.5,577.72,575.22
2020-03-20,-0.0365251555926428,-0.4428930438279055,-21.00999999999999,575.22,554.21
2020-03-23,-0.031594521932119576,-0.46049457177322106,-17.50999999999999,554.21,536.7
2020-03-24,0.07270355878516858,-0.42127060715721787,39.01999999999998,536.7,575.72
2020-03-25,0.050823316890154915,-0.3918576598311222,29.25999999999999,575.72,604.98
2020-03-26,0.00991768322919766,-0.38582629674306435,6.0,604.98,610.98
2020-03-27,-0.01964057743297653,-0.39788902291918016,-12.0,610.98,598.98
2020-03-30,0.01836455307355838,-0.38683152392440734,11.0,598.98,609.98
2020-03-31,0.0,-0.38683152392440734,0.0,609.98,609.98
2020-04-01,-0.03034525722154823,-0.405438279051066,-18.50999999999999,609.98,591.47
2020-04-02,-0.0012680271188733156,-0.4061921994370732,-0.75,591.47,590.72
2020-04-03,-0.018621343445287108,-0.417249698431846,-11.0,590.72,579.72
2020-04-06,0.06513489270682396,-0.3792923200643349,37.75999999999999,579.72,617.48
2020-04-07,0.06116797305175873,-0.3413248894250105,37.76999999999998,617.48,655.25
2020-04-08,-0.022907287294925586,-0.35641334941696867,-15.009999999999991,655.25,640.24
2020-04-09,0.03320629763838559,-0.33504221954161684,21.25999999999999,640.24,661.5
2020-04-14,-0.004731670445956153,-0.3381885806192203,-3.1299999999999955,661.5,658.37
2020-04-15,-0.046523991068851855,-0.36897868918375587,-30.629999999999995,658.37,627.74
2020-04-16,0.015930162169050882,-0.35892641737032605,10.0,627.74,637.74
2020-04-17,0.04608461128359517,-0.3293827905106559,29.389999999999986,637.74,667.13
2020-04-20,0.04311003852322635,-0.3004724567752317,28.75999999999999,667.13,695.89
2020-04-21,-0.027863599132046713,-0.31996381182147215,-19.389999999999986,695.89,676.5
2020-04-22,0.006474501108647443,-0.31556091676719,4.3799999999999955,676.5,680.88
2020-04-23,0.018373281635530477,-0.3029855247285893,12.509999999999991,680.88,693.39
2020-04-24,-0.03517500973478127,-0.3275030156815446,-24.389999999999986,693.39,669.0
2020-04-27,0.026173393124065757,-0.30990148773622894,17.50999999999999,669.0,686.51
2020-04-28,0.005462411326856128,-0.30613188580619266,3.75,686.51,690.26
2020-04-29,0.0797090951235766,-0.2508242862887018,55.01999999999998,690.26,745.28
2020-04-30,-0.07634714469729495,-0.30802171290711755,-56.89999999999998,745.28,688.38
2020-05-04,-0.029968912519248082,-0.3287595496582233,-20.629999999999995,688.38,667.75
2020-05-05,0.028094346686634207,-0.30990148773622894,18.75999999999999,667.75,686.51
2020-05-06,-0.010924822653712255,-0.3174406915963014,-7.5,686.51,679.01
2020-05-07,0.011958586766027016,-0.30927824688379635,8.120000000000005,679.01,687.13
2020-05-08,0.029121127006534412,-0.2891636509851233,20.00999999999999,687.13,707.14
2020-05-11,-0.004426280510224277,-0.2923100120627269,-3.1299999999999955,707.14,704.01
2020-05-12,-0.017755429610374854,-0.3048753518295142,-12.5,704.01,691.51
2020-05-13,-0.021706121386530913,-0.3199638118214724,-15.009999999999991,691.51,676.5
2020-05-14,-0.03419068736141906,-0.3432147165259356,-23.129999999999995,676.5,653.37
2020-05-15,0.014356337144343933,-0.3337856855649384,9.379999999999995,653.37,662.75
2020-05-18,0.05188985288570349,-0.29921592279855325,34.389999999999986,662.75,697.14
2020-05-19,0.02089967581834359,-0.284569762766386,14.57000000000005,697.14,711.71
2020-05-20,0.04452656278540408,-0.2527141133896269,31.68999999999994,711.71,743.4
2020-05-21,-0.0144874899112187,-0.2635404101326908,-10.769999999999982,743.4,732.63
2020-05-22,-0.008653754282516458,-0.2699135504624054,-6.340000000000032,732.63,726.29
2020-05-25,0.014828787398972837,-0.2590872537193416,10.769999999999982,726.29,737.06
2020-05-26,0.01117955118986244,-0.25080418174507535,8.240000000000009,737.06,745.3
2020-05-27,0.028069233865557593,-0.22977482911138014,20.920000000000073,745.3,766.22
2020-05-28,0.006616898540888956,-0.22467832730197124,5.069999999999936,766.22,771.29
2020-05-29,-0.03697701253743726,-0.2533474065138731,-28.519999999999982,771.29,742.77
2020-06-02,0.030709371676292875,-0.23041817450743962,22.81000000000006,742.77,765.58
2020-06-03,0.04057054781995342,-0.19919581825492672,31.059999999999945,765.58,796.64
2020-06-04,0.005560855593492749,-0.1947426618415773,4.430000000000064,796.64,801.07
2020-06-05,0.014243449386445589,-0.1832730197024539,11.409999999999968,801.07,812.48
2020-06-08,-0.009354076408034687,-0.19091274628066057,-7.600000000000023,812.48,804.88
2020-06-09,-0.036229003081204615,-0.22022517088862192,-29.159999999999968,804.88,775.72
2020-06-10,-0.013883875625225573,-0.23105146763168583,-10.769999999999982,775.72,764.95
2020-06-11,-0.041427544283940194,-0.26290711700844505,-31.690000000000055,764.95,733.26
2020-06-12,-0.027657311185663985,-0.28329312424608066,-20.279999999999973,733.26,712.98
2020-06-15,0.003562512272433958,-0.28073984720546963,2.5399999999999636,712.98,715.52
2020-06-16,0.015051990161001763,-0.2699135504624057,10.769999999999982,715.52,726.29
2020-06-17,0.009596717564609216,-0.26290711700844516,6.970000000000027,726.29,733.26
2020-06-18,-0.004323159588686085,-0.2660936871733024,-3.169999999999959,733.26,730.09
2020-06-19,-0.02864030461997847,-0.2871129875351842,-20.910000000000082,730.09,709.18
2020-06-22,0.010716602273047778,-0.27947326095697744,7.600000000000023,709.18,716.78
2020-06-23,0.022112782164680968,-0.26354041013269114,15.850000000000023,716.78,732.63
2020-06-24,-0.01730750856503276,-0.2762866907921201,-12.67999999999995,732.63,719.95
2020-06-25,-0.004403083547468675,-0.27947326095697744,-3.1700000000000728,719.95,716.78
2020-06-26,-0.012374787242947634,-0.2883896260554897,-8.870000000000005,716.78,707.91
2020-06-29,0.022389851817321445,-0.2724567752312035,15.850000000000023,707.91,723.76
2020-06-30,0.0,-0.2724567752312035,0.0,723.76,723.76
2020-07-01,-0.008759809881728794,-0.27882991556091796,-6.340000000000032,723.76,717.42
2020-07-02,-0.0017702322210141645,-0.28010655408122354,-1.2699999999999818,717.42,716.15
2020-07-03,0.0088528939467989,-0.27373341375150906,6.340000000000032,716.15,722.49
2020-07-06,0.011405002145358426,-0.2654503417772429,8.240000000000009,722.49,730.73
2020-07-07,-0.0043381276257989584,-0.26863691194210026,-3.1700000000000728,730.73,727.56
2020-07-08,-0.010459618450711833,-0.2762866907921203,-7.6099999999999,727.56,719.95
2020-07-09,-0.04489200638933266,-0.3087756332931255,-32.32000000000005,719.95,687.63
2020-07-10,-0.010136265142591258,-0.3157820667470861,-6.970000000000027,687.63,680.66
2020-07-13,0.032586019451708734,-0.2934861278648987,22.180000000000064,680.66,702.84
2020-07-14,0.009916908542484653,-0.28647969441093823,6.969999999999914,702.84,709.81
2020-07-15,-0.000887561460109037,-0.2871129875351843,-0.6299999999999955,709.81,709.18
2020-07-16,-0.008051552497250238,-0.2928528347406526,-5.709999999999923,709.18,703.47
2020-07-17,-0.003596457560379224,-0.29539605950945025,-2.5299999999999727,703.47,700.94
2020-07-20,0.008131937113019561,-0.28966626457579536,5.699999999999932,700.94,706.64
2020-07-21,0.015255292652552889,-0.2788299155609181,10.779999999999973,706.64,717.42
2020-07-22,-0.005296757826656568,-0.2826497788500214,-3.7999999999999545,717.42,713.62
2020-07-23,0.021313864521734307,-0.2673602734217946,15.210000000000036,713.62,728.83
2020-07-24,-0.006091955600071422,-0.2718234821069575,-4.440000000000055,728.83,724.39
2020-07-27,-0.0017531992435014037,-0.2731001206272631,-1.2699999999999818,724.39,723.12
2020-07-28,-0.010510012169487807,-0.28073984720546974,-7.600000000000023,723.12,715.52
2020-07-29,0.00443034436493749,-0.2775532770406125,3.1700000000000728,715.52,718.69
2020-07-30,-0.10935173718849577,-0.35655408122235743,-78.59000000000003,718.69,640.1
2020-07-31,0.019793782221527823,-0.343817852834742,12.669999999999959,640.1,652.77
2020-08-03,0.0951483677252325,-0.28138319260152933,62.110000000000014,652.77,714.88
2020-08-04,-0.015960720680393867,-0.2928528347406527,-11.409999999999968,714.88,703.47
2020-08-05,0.04145166105164395,-0.26354041013269136,29.159999999999968,703.47,732.63
2020-08-06,-0.005186792787628072,-0.2673602734217947,-3.7999999999999545,732.63,728.83
2020-08-07,0.002606917936967437,-0.265450341777243,1.8999999999999773,728.83,730.73
2020-08-10,0.015600837518645706,-0.25399075190993314,11.399999999999977,730.73,742.13
2020-08-11,0.018797245765566743,-0.2399678327301985,13.950000000000045,742.13,756.08
2020-08-12,0.005025923182731926,-0.23614796944109528,3.7999999999999545,756.08,759.88
2020-08-13,-0.0033426330473232137,-0.23870124648170643,-2.5399999999999636,759.88,757.34
2020-08-14,-0.010035122930255925,-0.2463409730599131,-7.600000000000023,757.34,749.74
